(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
       80    0.000    0.000    0.001    0.000 _dtype.py:321(_name_get)
       18    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
        9    0.000    0.000    0.000    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
        9    0.000    0.000    0.000    0.000 _methods.py:125(_clip)
        9    0.000    0.000    0.000    0.000 _methods.py:162(_mean)
       10    0.000    0.000    0.000    0.000 _methods.py:38(_amax)
        1    0.000    0.000    0.000    0.000 _methods.py:42(_amin)
       18    0.000    0.000    0.001    0.000 _methods.py:46(_sum)
       47    0.000    0.000    0.000    0.000 _methods.py:54(_any)
       24    0.000    0.000    0.000    0.000 _methods.py:60(_all)
        9    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
       18    0.000    0.000    0.000    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
        2    0.000    0.000    1.010    0.505 _openpyxl.py:509(__init__)
        4    0.000    0.000    0.000    0.000 _openpyxl.py:527(_workbook_class)
        2    0.000    0.000    0.528    0.264 _openpyxl.py:533(load_workbook)
        2    0.000    0.000    0.000    0.000 _openpyxl.py:540(sheet_names)
        2    0.000    0.000    0.000    0.000 _openpyxl.py:542(<listcomp>)
        2    0.000    0.000    0.000    0.000 _openpyxl.py:548(get_sheet_by_index)
    56472    0.103    0.000    0.118    0.000 _openpyxl.py:552(_convert_cell)
        2    0.021    0.010    1.224    0.612 _openpyxl.py:574(get_sheet_data)
     6876    0.018    0.000    0.136    0.000 _openpyxl.py:582(<listcomp>)
     6878    0.001    0.000    0.002    0.000 _openpyxl.py:595(<genexpr>)
     6878    0.002    0.000    0.002    0.000 _openpyxl.py:596(<genexpr>)
        1    0.004    0.004    0.004    0.004 _openpyxl.py:598(<listcomp>)
        9    0.000    0.000    0.000    0.000 _optional.py:66(get_version)
        7    0.000    0.000    0.502    0.072 _optional.py:87(import_optional_dependency)
     6876    0.063    0.000    0.111    0.000 _read_only.py:101(_get_row)
        2    0.000    0.000    0.000    0.000 _read_only.py:160(reset_dimensions)
        4    0.000    0.000    0.000    0.000 _read_only.py:174(max_row)
        1    0.000    0.000    0.000    0.000 _read_only.py:18(ReadOnlyWorksheet)
        4    0.000    0.000    0.000    0.000 _read_only.py:184(max_column)
        1    0.000    0.000    0.004    0.004 _read_only.py:3(<module>)
        2    0.000    0.000    0.011    0.006 _read_only.py:34(__init__)
        2    0.000    0.000    0.011    0.006 _read_only.py:44(_get_size)
        4    0.000    0.000    0.000    0.000 _read_only.py:53(_get_source)
     6878    0.208    0.000    1.055    0.000 _read_only.py:58(_cells_by_row)
       34    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
       34    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       17    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
       17    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
       17    0.000    0.000    0.000    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:14(DeferredError)
        3    0.000    0.000    0.000    0.000 _util.py:184(maybe_convert_usecols)
        3    0.000    0.000    0.000    0.000 _util.py:50(get_default_engine)
       12    0.000    0.000    0.000    0.000 _validators.py:218(validate_bool_kwarg)
